Value_9362,Value_9363,Value_9364,Value_9365,Value_9366,Value_9367,Value_9371,Value_9372,BaseTimeStamp,BaseDateTime
53.0,19.0,63.0,30.0,37.0,8.0,60.0,59.0,1620747489.0,2021-05-11 15:38:09
51.0,18.0,63.0,30.0,36.0,9.0,59.0,59.0,1620759165.0,2021-05-11 18:52:45
53.0,20.0,64.0,27.0,30.0,11.0,62.0,61.0,1620769017.0,2021-05-11 21:36:57
53.0,20.0,61.0,25.0,32.0,10.0,61.0,60.0,1620779978.0,2021-05-12 00:39:38
56.0,19.0,67.0,34.0,41.0,8.0,53.0,49.0,1620240473.0,2021-05-05 18:47:53
57.0,20.0,64.0,27.0,31.0,11.0,58.0,57.0,1620251361.0,2021-05-05 21:49:21
55.0,18.0,29.0,23.0,33.0,10.0,60.0,60.0,1620273523.0,2021-05-06 03:58:43
54.0,20.0,62.0,28.0,33.0,10.0,59.0,58.0,1620531730.0,2021-05-09 03:42:10
54.0,20.0,61.0,30.0,31.0,11.0,62.0,61.0,1620553594.0,2021-05-09 09:46:34
54.0,19.0,66.0,36.0,34.0,10.0,58.0,57.0,1620564347.0,2021-05-09 12:45:47
53.0,20.0,62.0,28.0,29.0,11.0,62.0,61.0,1620574764.0,2021-05-09 15:39:24
55.0,20.0,62.0,32.0,30.0,11.0,61.0,55.0,1620585981.0,2021-05-09 18:46:21
52.0,20.0,65.0,28.0,32.0,10.0,59.0,58.0,1620597072.0,2021-05-09 21:51:12
54.0,20.0,61.0,31.0,31.0,10.0,60.0,59.0,1620607020.0,2021-05-10 00:37:00
57.0,20.0,62.0,28.0,27.0,12.0,61.0,60.0,1620618390.0,2021-05-10 03:46:30
57.0,19.0,61.0,27.0,24.0,13.0,63.0,62.0,1620628558.0,2021-05-10 06:35:58
52.0,19.0,60.0,27.0,23.0,13.0,63.0,62.0,1620639608.0,2021-05-10 09:40:08
50.0,19.0,62.0,31.0,32.0,10.0,60.0,59.0,1620651198.0,2021-05-10 12:53:18
52.0,19.0,61.0,27.0,30.0,9.0,63.0,62.0,1620661286.0,2021-05-10 15:41:26
53.0,18.0,62.0,26.0,38.0,8.0,59.0,58.0,1620834149.0,2021-05-12 15:42:29
56.0,19.0,65.0,33.0,40.0,8.0,57.0,56.0,1620844446.0,2021-05-12 18:34:06
56.0,19.0,66.0,34.0,34.0,10.0,61.0,60.0,1620855224.0,2021-05-12 21:33:44
55.0,20.0,63.0,27.0,39.0,8.0,57.0,56.0,1620866201.0,2021-05-13 00:36:41
54.0,20.0,65.0,33.0,35.0,9.0,63.0,62.0,1620877848.0,2021-05-13 03:50:48
56.0,20.0,60.0,22.0,23.0,12.0,66.0,65.0,1620887975.0,2021-05-13 06:39:35
52.0,18.0,60.0,22.0,33.0,10.0,59.0,58.0,1619928103.0,2021-05-02 04:01:43
55.0,19.0,61.0,27.0,32.0,11.0,63.0,62.0,1620963489.0,2021-05-14 03:38:09
58.0,20.0,59.0,23.0,30.0,10.0,65.0,64.0,1620985430.0,2021-05-14 09:43:50
53.0,19.0,60.0,26.0,30.0,9.0,62.0,61.0,1620997786.0,2021-05-14 13:09:46
52.0,18.0,64.0,32.0,37.0,8.0,59.0,58.0,1621007094.0,2021-05-14 15:44:54
54.0,19.0,67.0,37.0,34.0,9.0,62.0,61.0,1621017143.0,2021-05-14 18:32:23
55.0,20.0,63.0,29.0,37.0,9.0,60.0,59.0,1621028402.0,2021-05-14 21:40:02
55.0,19.0,63.0,29.0,34.0,9.0,61.0,61.0,1621039499.0,2021-05-15 00:44:59
55.0,20.0,62.0,24.0,31.0,11.0,62.0,62.0,1621049937.0,2021-05-15 03:38:57
56.0,20.0,62.6,26.0,32.0,12.0,65.0,64.0,1621060529.0,2021-05-15 06:35:29
58.0,20.0,63.0,27.0,29.0,12.0,65.0,64.0,1621071526.0,2021-05-15 09:38:46
53.5,19.0,63.0,27.0,35.0,8.0,61.0,60.0,1621082235.0,2021-05-15 12:37:15
52.0,19.0,64.0,32.0,40.0,8.0,57.0,56.0,1621093253.0,2021-05-15 15:40:53
56.0,19.5,64.0,31.0,39.0,8.0,60.0,60.0,1621213802.0,2021-05-17 01:10:02
56.0,20.0,65.0,32.0,38.0,11.0,63.0,62.0,1621222475.0,2021-05-17 03:34:35
58.0,20.0,63.0,28.0,33.0,11.0,66.0,65.0,1621234016.0,2021-05-17 06:46:56
57.0,20.0,63.0,23.0,34.0,11.0,66.0,65.0,1621244818.0,2021-05-17 09:46:58
56.0,19.0,59.0,25.0,31.0,8.0,62.0,61.0,1621255429.0,2021-05-17 12:43:49
54.0,18.0,56.0,23.0,33.0,7.0,59.0,58.0,1621265921.0,2021-05-17 15:38:41
52.0,18.0,60.0,25.0,40.0,7.0,57.0,56.0,1621276406.0,2021-05-17 18:33:26
62.0,19.0,63.0,31.0,39.0,8.0,61.0,60.0,1621287333.0,2021-05-17 21:35:33
