AssetID,Value,DateTime
8319,41,15:02.0
8319,41,36:41.0
8319,46,27:33.0
8319,41.5,41:09.0
8319,40,48:20.0
8319,46,09:17.0
8319,42,01:55.0
8319,50,00:19.0
8319,48,18:15.0
8319,47,50:57.0
8319,44,53:47.0
8319,46,49:00.0
8319,47,28:01.0
8319,43,18:54.0
8319,50,58:53.0
8319,45,35:46.0
8319,45,13:35.0
8319,50,53:22.0
8319,43,01:03.0
8319,46,34:00.0
8319,49,27:21.0
8319,44,20:24.0
8319,41,40:09.0
8319,48,59:59.0
8319,48,35:25.0
8319,44,35:35.0
8319,41,01:24.0
8319,47,01:45.0
8319,40,36:25.0
8319,45,31:36.0
8319,48,34:55.0
8319,44,50:01.0
8319,40,31:31.0
8319,45,20:06.0
8319,50,55:21.0
8319,47,58:31.0
8319,44,32:31.0
8319,49,52:08.0
8319,48,42:12.0
8319,45,38:02.0
8319,42,17:36.0
8319,49,11:53.0
8319,47,58:54.0
8319,45,13:10.0
8319,42.5,50:25.0
8319,46,33:40.0
8319,50,25:58.0
8319,46,11:04.0
8319,42,35:15.0
8319,46,06:54.0
8319,47.5,25:42.0
8319,45,44:32.0
8319,42,58:13.0
8319,41,04:21.0
8319,47,43:35.0
8319,47,21:46.0
8319,44,35:37.0
8319,43,07:15.0
8319,48,32:34.0
8319,47,27:23.0
8319,45,38:24.0
8319,43,28:45.0
8319,46,27:34.0
8319,41,25:36.0
8319,45,40:11.0
8319,41.5,36:15.0
8319,46,32:35.0
8319,48,55:28.0
8319,42,43:39.0
8319,48,50:51.0
8319,48,22:40.0
8319,43.5,19:40.0
8319,48,45:50.0
8319,48,31:15.0
8319,41,04:03.0
8319,45,31:52.0
8319,47,33:14.0
8319,45,01:26.0
8319,39.5,37:16.0
8319,47,07:21.0
8319,48,15:28.0
8319,45,43:17.0
8319,48,51:24.0
8319,45,15:23.0
8319,41,17:01.0
8319,49,13:48.0
8319,48,08:31.0
8319,45,09:16.0
8319,46,57:07.0
8319,41,36:38.0
8319,47,51:17.0
8319,45,36:08.0
8319,40,30:40.0
8319,44,26:06.0
8319,49,40:28.0
8319,48,37:52.0
8319,44,27:24.0
8319,38,16:43.0
8319,44,03:59.0
8319,44,21:40.0
8319,40,54:13.0
8319,44,22:51.0
8319,42,26:38.0
8319,39,17:54.0
8319,47,47:37.0
8319,44,40:13.0
8319,39,30:50.0
8319,39,00:45.0
8319,47,14:22.0
8319,45,33:37.0
8319,41,51:52.0
8319,40,07:40.0
8319,44,37:25.0
8319,47,28:19.0
8319,40,59:02.0
8319,48,14:14.0
8319,39,56:40.0
8319,41,24:56.0
8319,39,15:04.0
8319,44,06:28.0
8319,44,28:02.0
8319,42.5,15:24.0
8319,46,40:11.0
8319,44,37:26.0
8319,39,04:43.0
8319,44,06:21.0
8319,40,32:51.0
8319,44,24:26.0
8319,47,16:35.0
8319,44,50:42.0
8319,40,52:42.0
8319,46,55:35.0
8319,48.5,33:07.0
8319,45,18:09.0
8319,44,41:56.0
8319,40,08:58.0
8319,46,59:04.0
8319,48,30:34.0
8319,42,07:00.0
8319,44,02:55.0
8319,48,26:59.0
8319,40,47:34.0
8319,45,11:35.0
8319,47,33:49.0
8319,43,19:05.0
8319,46,19:12.0
8319,44,44:08.0
8319,39,30:16.0
8319,42,19:23.0
8319,43,41:24.0
8319,44,35:30.0
8319,46,30:20.0
8319,44,36:32.0
8319,40,59:09.0
8319,41,13:14.0
8319,48,32:59.0
8319,44,39:58.0
8319,43,38:56.0
8319,39,03:21.0
8319,46,16:29.0
8319,46,52:44.0
8319,45,41:11.0
8319,46,41:54.0
8319,44,17:11.0
8319,40,07:47.0
8319,48,17:49.0
8319,46,06:29.0
8319,44,48:14.0
8319,40,20:19.0
8319,47,43:48.0
8319,46,26:20.0
8319,41,45:23.0
8319,46,25:37.0
8319,43,17:16.0
8319,38,21:09.0
8319,45,49:49.0
8319,47,28:39.0
8319,44,59:59.0
8319,40,59:37.0
8319,46,42:27.0
8319,42,32:12.0
8319,44,41:59.0
8319,42,22:02.0
8319,40,41:41.0
8319,43,44:13.0
8319,40,15:00.0
8319,45,21:25.0
8319,38,24:58.0
8319,44,58:23.0
8319,48,02:35.0
8319,44,42:58.0
8319,38,00:47.0
8319,44,58:11.0
8319,45,32:07.0
8319,41,02:45.0
8319,37,04:51.0
