ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
2248658,9358,12,70.0,05:14:43,2021/06/22,83783,1,1,21,2021-06-22 05:14:43.000,1624322683,Operation,0,12,1
2248659,9359,12,72.0,05:14:45,2021/06/22,83783,1,1,21,2021-06-22 05:14:45.000,1624322685,Operation,0,12,1
2248806,9408,12,3.7,08:31:23,2021/06/22,83737,1,1,21,2021-06-22 08:31:23.000,1624334483,Operation,0,12,1
2248807,9358,12,68.0,08:31:27,2021/06/22,83737,1,1,21,2021-06-22 08:31:27.000,1624334487,Operation,0,12,1
2248808,9359,12,70.0,08:31:28,2021/06/22,83737,1,1,21,2021-06-22 08:31:28.000,1624334488,Operation,0,12,1
2248935,9408,12,3.4,11:17:09,2021/06/22,83715,1,1,21,2021-06-22 11:17:09.000,1624344429,Operation,0,12,1
2248936,9358,12,72.0,11:17:13,2021/06/22,83715,1,1,21,2021-06-22 11:17:13.000,1624344433,Operation,0,12,1
2248937,9359,12,74.0,11:17:15,2021/06/22,83715,1,1,21,2021-06-22 11:17:15.000,1624344435,Operation,0,12,1
2249265,9408,12,3.2,14:19:18,2021/06/22,83737,1,1,21,2021-06-22 14:19:18.000,1624355358,Operation,0,12,1
2249266,9358,12,74.0,14:19:21,2021/06/22,83737,1,1,21,2021-06-22 14:19:21.000,1624355361,Operation,0,12,1
2249267,9359,12,78.0,14:19:23,2021/06/22,83737,1,1,21,2021-06-22 14:19:23.000,1624355363,Operation,0,12,1
2249466,9408,12,4.0,17:32:29,2021/06/22,83737,1,1,21,2021-06-22 17:32:29.000,1624366949,Operation,0,12,1
2249467,9358,12,75.0,17:32:33,2021/06/22,83737,1,1,21,2021-06-22 17:32:33.000,1624366953,Operation,0,12,1
2249468,9359,12,78.0,17:32:34,2021/06/22,83737,1,1,21,2021-06-22 17:32:34.000,1624366954,Operation,0,12,1
2254890,9408,12,71.0,20:14:36,2021/06/22,83683,0,1,21,2021-06-22 20:14:36.000,1624376676,Operation,0,12,1
2254891,9358,12,72.0,20:14:48,2021/06/22,83683,1,1,21,2021-06-22 20:14:48.000,1624376688,Operation,0,12,1
2254892,9359,12,74.0,20:14:51,2021/06/22,83683,1,1,21,2021-06-22 20:14:51.000,1624376691,Operation,0,12,1
2255091,9408,12,3.7,23:11:11,2021/06/22,83683,1,1,21,2021-06-22 23:11:11.000,1624387271,Operation,0,12,1
2255092,9358,12,70.0,23:11:29,2021/06/22,83683,1,1,21,2021-06-22 23:11:29.000,1624387289,Operation,0,12,1
2255093,9359,12,71.0,23:11:32,2021/06/22,83683,1,1,21,2021-06-22 23:11:32.000,1624387292,Operation,0,12,1
2255292,9408,12,4.1,02:18:28,2021/06/23,83683,1,1,21,2021-06-23 02:18:28.000,1624398508,Operation,0,12,1
2255293,9358,12,71.0,02:18:32,2021/06/23,83683,1,1,21,2021-06-23 02:18:32.000,1624398512,Operation,0,12,1
2255294,9359,12,72.0,02:18:34,2021/06/23,83683,1,1,21,2021-06-23 02:18:34.000,1624398514,Operation,0,12,1
2255493,9408,12,3.6,05:10:29,2021/06/23,83683,1,1,21,2021-06-23 05:10:29.000,1624408829,Operation,0,12,1
2255494,9358,12,69.0,05:10:42,2021/06/23,83683,1,1,21,2021-06-23 05:10:42.000,1624408842,Operation,0,12,1
2234143,9358,12,71.0,08:26:32,2021/06/21,83683,1,1,21,2021-06-21 08:26:32.000,1624247792,Operation,0,12,1
2234144,9359,12,72.0,08:26:34,2021/06/21,83683,1,1,21,2021-06-21 08:26:34.000,1624247794,Operation,0,12,1
2234343,9408,12,3.3,11:36:30,2021/06/21,83683,1,1,21,2021-06-21 11:36:30.000,1624259190,Operation,0,12,1
2234344,9358,12,71.0,11:37:00,2021/06/21,83683,1,1,21,2021-06-21 11:37:00.000,1624259220,Operation,0,12,1
2234345,9359,12,74.0,11:37:02,2021/06/21,83683,1,1,21,2021-06-21 11:37:02.000,1624259222,Operation,0,12,1
2234544,9408,12,3.4,14:30:52,2021/06/21,83683,1,1,21,2021-06-21 14:30:52.000,1624269652,Operation,0,12,1
2234545,9358,12,74.0,14:30:56,2021/06/21,83683,1,1,21,2021-06-21 14:30:56.000,1624269656,Operation,0,12,1
2234546,9359,12,79.0,14:30:57,2021/06/21,83683,1,1,21,2021-06-21 14:30:57.000,1624269657,Operation,0,12,1
2234745,9408,12,3.5,17:08:50,2021/06/21,83824,1,1,21,2021-06-21 17:08:50.000,1624279130,Operation,0,12,1
2234746,9358,12,73.0,17:09:04,2021/06/21,83824,1,1,21,2021-06-21 17:09:04.000,1624279144,Operation,0,12,1
2234747,9359,12,76.0,17:09:07,2021/06/21,83824,1,1,21,2021-06-21 17:09:07.000,1624279147,Operation,0,12,1
2265314,9408,12,3.6,08:40:50,2021/06/23,83736,1,1,21,2021-06-23 08:40:50.000,1624421450,Operation,0,12,1
2265315,9358,12,69.0,08:40:59,2021/06/23,83736,1,1,21,2021-06-23 08:40:59.000,1624421459,Operation,0,12,1
2265316,9359,12,71.0,08:41:00,2021/06/23,83736,1,1,21,2021-06-23 08:41:00.000,1624421460,Operation,0,12,1
2265515,9408,12,3.1,11:07:01,2021/06/23,83769,1,1,21,2021-06-23 11:07:01.000,1624430221,Operation,0,12,1
2265516,9358,12,71.0,11:07:04,2021/06/23,83769,1,1,21,2021-06-23 11:07:04.000,1624430224,Operation,0,12,1
2265517,9359,12,73.0,11:07:06,2021/06/23,83769,1,1,21,2021-06-23 11:07:06.000,1624430226,Operation,0,12,1
2265773,9408,12,3.5,14:39:06,2021/06/23,83736,1,1,21,2021-06-23 14:39:06.000,1624442946,Operation,0,12,1
2265774,9358,12,75.0,14:39:20,2021/06/23,83736,1,1,21,2021-06-23 14:39:20.000,1624442960,Operation,0,12,1
2265775,9359,12,76.0,14:39:21,2021/06/23,83736,1,1,21,2021-06-23 14:39:21.000,1624442961,Operation,0,12,1
